iso3,country,coef,se,pval,sig,coef_change,base_coef,base_se
HND,Honduras,-0.006782,0.006754,0.315444,,0.000095,-0.006877,0.006753
JAM,Jamaica,-0.006781,0.006751,0.315328,,0.000096,-0.006877,0.006753
SUR,Suriname,-0.006774,0.006756,0.316189,,0.000103,-0.006877,0.006753
KHM,Cambodia,-0.006774,0.006766,0.316961,,0.000103,-0.006877,0.006753
BEN,Benin,-0.006759,0.006742,0.316244,,0.000118,-0.006877,0.006753
GAB,Gabon,-0.006753,0.006740,0.316598,,0.000124,-0.006877,0.006753
CHL,Chile,-0.006748,0.006757,0.318156,,0.000129,-0.006877,0.006753
NZL,New Zealand,-0.006739,0.006760,0.318978,,0.000138,-0.006877,0.006753
OMN,Oman,-0.006732,0.006736,0.317810,,0.000145,-0.006877,0.006753
LBR,Liberia,-0.006720,0.006745,0.319313,,0.000157,-0.006877,0.006753
STP,Sao Tome and Principe,-0.006701,0.006763,0.321923,,0.000176,-0.006877,0.006753
YEM,"Yemen, Rep.",-0.006688,0.006861,0.329830,,0.000189,-0.006877,0.006753
NGA,Nigeria,-0.006650,0.006736,0.323698,,0.000227,-0.006877,0.006753
AZE,Azerbaijan,-0.006641,0.006869,0.333764,,0.000236,-0.006877,0.006753
DJI,Djibouti,-0.006597,0.006896,0.338889,,0.000280,-0.006877,0.006753
DEU,Germany,-0.006591,0.006878,0.338046,,0.000286,-0.006877,0.006753
MMR,Myanmar,-0.006585,0.006705,0.326211,,0.000292,-0.006877,0.006753
ZMB,Zambia,-0.006549,0.006701,0.328594,,0.000328,-0.006877,0.006753
NPL,Nepal,-0.006527,0.006760,0.334464,,0.000350,-0.006877,0.006753
NLD,Netherlands,-0.006468,0.006890,0.348039,,0.000409,-0.006877,0.006753
FRA,France,-0.006203,0.007051,0.379175,,0.000674,-0.006877,0.006753
AGO,Angola,-0.006189,0.006760,0.360137,,0.000688,-0.006877,0.006753
ARM,Armenia,-0.005854,0.007054,0.406753,,0.001023,-0.006877,0.006753
DZA,Algeria,-0.005526,0.006779,0.415071,,0.001351,-0.006877,0.006753
KGZ,Kyrgyz Republic,-0.005293,0.006767,0.434262,,0.001584,-0.006877,0.006753
SAU,Saudi Arabia,-0.001486,0.004103,0.717375,,0.005391,-0.006877,0.006753
