iso3,country,coef,se,pval,sig,coef_change,base_coef,base_se
ROU,Romania,0.021792,0.018606,0.241681,,-0.000190,0.021982,0.018623
DNK,Denmark,0.021796,0.018603,0.241535,,-0.000187,0.021982,0.018623
BTN,Bhutan,0.021801,0.018688,0.243582,,-0.000182,0.021982,0.018623
ZMB,Zambia,0.021807,0.018683,0.243307,,-0.000175,0.021982,0.018623
MRT,Mauritania,0.021807,0.018602,0.241272,,-0.000175,0.021982,0.018623
JAM,Jamaica,0.021812,0.018842,0.247194,,-0.000170,0.021982,0.018623
GHA,Ghana,0.021824,0.018662,0.242440,,-0.000159,0.021982,0.018623
LAO,Lao PDR,0.021839,0.018619,0.241009,,-0.000143,0.021982,0.018623
IRN,"Iran, Islamic Rep.",0.021840,0.018618,0.240978,,-0.000143,0.021982,0.018623
GBR,United Kingdom,0.021862,0.018623,0.240612,,-0.000120,0.021982,0.018623
MUS,Mauritius,0.021865,0.018810,0.245252,,-0.000117,0.021982,0.018623
HUN,Hungary,0.021866,0.018607,0.240111,,-0.000116,0.021982,0.018623
ECU,Ecuador,0.021877,0.018596,0.239618,,-0.000105,0.021982,0.018623
SWE,Sweden,0.021877,0.018603,0.239784,,-0.000105,0.021982,0.018623
CHN,China,0.021887,0.018621,0.240048,,-0.000096,0.021982,0.018623
PRY,Paraguay,0.021893,0.018961,0.248429,,-0.000089,0.021982,0.018623
LTU,Lithuania,0.021910,0.018630,0.239772,,-0.000072,0.021982,0.018623
GRC,Greece,0.021932,0.018628,0.239249,,-0.000050,0.021982,0.018623
