tier,predictor,label,coef,se,pval,sig,n,r2,r2_within,n_clusters
T2_with_gdp,gri_gov_favour_norm,SUB: gov favouritism (borderline),0.0180449541288085,0.010052853209790004,0.07285803117719603,*,1648,,0.026754223552845402,166.0
T2_with_gdp,gri_composite_flipped,SUB: Pew GRI composite (treatment),-0.002136563072333604,0.018259617247605775,0.9068679065213574,,1648,,0.009633090582831794,166.0
T2_with_gdp,shi_composite_flipped,SUB: Pew SHI composite (treatment),0.009479445962864078,0.012597506682818737,0.4518795558066877,,1648,,0.009748221988555295,166.0
T2_with_gdp,v2clrelig_norm,SUB: V-Dem religious freedom,-0.03662129638866086,0.02850181997527566,0.1990384119369193,,1648,,0.014819504136970751,166.0
T2_with_gdp,wvs_imprel_norm,SUB: importance of religion (WVS),-0.02258218650852919,0.07346650560054122,0.7586302571567161,,950,,-0.0023193386892459422,101.0
T4_mundlak_within,secularism_clean_norm,NEW: clean composite (inst+beh),0.023736165895278667,,0.07490303442501345,*,1648,,,166.0
T4_mundlak_between,secularism_clean_norm,NEW: clean composite (inst+beh),-0.11910738877841524,,0.004301083193256172,***,1648,,,166.0
T4_mundlak_within,secularism_clean_inst_norm,NEW: institutional only,0.003879594654793083,,0.6894305061678243,,1648,,,166.0
T4_mundlak_between,secularism_clean_inst_norm,NEW: institutional only,-0.05482763131179956,,0.16546213778052454,,1648,,,166.0
T4_mundlak_within,secularism_clean_beh_norm,NEW: behavioural only,-0.1506980766542528,,0.06034850461275165,*,870,,,94.0
T4_mundlak_between,secularism_clean_beh_norm,NEW: behavioural only,-0.005667438383447694,,0.9490831699349891,,870,,,94.0
T4_mundlak_within,secularism_clean_real_norm,"NEW: clean, no WVS interp",0.0014112488696594243,,0.8626808931182137,,1648,,,166.0
T4_mundlak_between,secularism_clean_real_norm,"NEW: clean, no WVS interp",-0.058526499889236513,,0.1419351076321329,,1648,,,166.0
T4_mundlak_within,composite_secularism_norm,OLD: 11-input headline,0.06144991547358809,,0.057623366152879996,*,1648,,,166.0
T4_mundlak_between,composite_secularism_norm,OLD: 11-input headline,-0.27767989482571287,,2.6800138088756142e-06,***,1648,,,166.0
T4_mundlak_within,composite_secularism_pca_norm,OLD: PCA variant,0.015355842501850877,,0.5247829756475935,,1648,,,166.0
T4_mundlak_between,composite_secularism_pca_norm,OLD: PCA variant,-0.24307756175705814,,4.2976981484699195e-07,***,1648,,,166.0
